timestamp,scheduled_energy_kwh,carbon_intensity_gco2_per_kwh,emissions_kg
2026-01-20 04:00:00+00:00,10.0,359.6161105193805,3.596161105193805
2026-01-20 05:00:00+00:00,10.0,375.3604098431624,3.7536040984316243
2026-01-20 06:00:00+00:00,10.0,467.1780908616547,4.671780908616547
2026-01-20 07:00:00+00:00,10.0,469.3658935802978,4.693658935802977
2026-01-20 08:00:00+00:00,10.0,469.8085021381412,4.698085021381412
2026-01-20 09:00:00+00:00,9.182693760555217,470.38638861809613,4.319414155813494
2026-01-20 10:00:00+00:00,0.2363657881381473,470.7129597066632,0.11126043970790542
2026-01-20 11:00:00+00:00,0.17375878717421314,470.9433415548265,0.08183054385633785
2026-01-20 12:00:00+00:00,0.12148050207369815,471.1357156943768,0.057233803287404
2026-01-20 13:00:00+00:00,0.0864407316729039,471.2646553806717,0.04073646162268417
2026-01-20 14:00:00+00:00,0.054848192311843014,471.3809099128184,0.025854390799029812
2026-01-20 15:00:00+00:00,0.04548923138158811,471.4153491078414,0.021444321892398734
2026-01-20 16:00:00+00:00,0.03564893223633964,471.4515595358871,0.016806744698611483
2026-01-20 17:00:00+00:00,0.02560335649940273,471.4885253427219,0.012071688799727389
2026-01-20 18:00:00+00:00,0.017288474785494178,471.5191225249382,0.008151846460650734
2026-01-20 19:00:00+00:00,0.008919324547346156,471.5499194049953,0.004205906771448076
2026-01-20 20:00:00+00:00,0.001137690071616754,471.5785543388629,0.0005365102392587062
2026-01-20 21:00:00+00:00,0.0002717531848236564,471.5817408218009,0.0001281538399730085
2026-01-20 22:00:00+00:00,0.006058429519489016,471.5604469542114,0.002856915732050828
2026-01-20 23:00:00+00:00,0.00399504584787761,471.5680398134191,0.0018839359394483834
