timestamp,predicted_carbon_intensity_gco2_per_kwh
2026-01-20 00:00:00+00:00,348.7716191237241
2026-01-20 01:00:00+00:00,350.75413246202606
2026-01-20 02:00:00+00:00,352.83582182582904
2026-01-20 03:00:00+00:00,355.38145268638164
2026-01-20 04:00:00+00:00,359.6161105193805
2026-01-20 05:00:00+00:00,375.3604098431624
2026-01-20 06:00:00+00:00,467.1780908616547
2026-01-20 07:00:00+00:00,469.3658935802978
2026-01-20 08:00:00+00:00,469.8085021381412
2026-01-20 09:00:00+00:00,470.38638861809613
2026-01-20 10:00:00+00:00,470.71295970666324
2026-01-20 11:00:00+00:00,470.9433415548265
2026-01-20 12:00:00+00:00,471.1357156943768
2026-01-20 13:00:00+00:00,471.2646553806717
2026-01-20 14:00:00+00:00,471.3809099128184
2026-01-20 15:00:00+00:00,471.4153491078414
2026-01-20 16:00:00+00:00,471.4515595358871
2026-01-20 17:00:00+00:00,471.4885253427219
2026-01-20 18:00:00+00:00,471.5191225249382
2026-01-20 19:00:00+00:00,471.5499194049953
2026-01-20 20:00:00+00:00,471.5785543388629
2026-01-20 21:00:00+00:00,471.58174082180085
2026-01-20 22:00:00+00:00,471.56044695421133
2026-01-20 23:00:00+00:00,471.5680398134191
